Rank,Release Group,Worldwide,Domestic,%,Foreign,%
334,Rascals,"$652,756","$273,829",41.9%,"$378,927",58.1%
335,The Last Lions,"$635,325","$635,325",100%,-,-
336,A Beautiful Life,"$634,784","$66,171",10.4%,"$568,613",89.6%
337,No One Killed Jessica,"$634,297","$440,525",69.5%,"$193,772",30.5%
338,Sleepless Night,"$624,913","$3,358",0.5%,"$621,555",99.5%
339,Project Nim,"$609,880","$411,184",67.4%,"$198,696",32.6%
340,Life in a Day,"$607,169","$252,788",41.6%,"$354,381",58.4%
341,Trust,"$595,802","$120,016",20.1%,"$475,786",79.9%
342,Starry Starry Night,"$589,299","$10,033",1.7%,"$579,266",98.3%
343,Margaret,"$564,864","$46,495",8.2%,"$518,369",91.8%
344,Circumstance,"$555,511","$454,121",81.7%,"$101,390",18.3%
345,Creature,"$533,235","$508,714",95.4%,"$24,521",4.6%
346,"Love, Wedding, Marriage","$515,823","$1,926",0.4%,"$513,897",99.6%
347,Goodbye First Love,"$514,913","$95,000",18.4%,"$419,913",81.6%
348,Bol,"$509,872","$188,850",37%,"$321,022",63%
349,Bride Flight 2011 Re-release,"$501,360","$501,360",100%,-,-
350,Pearl Jam Twenty,"$471,334","$471,334",100%,-,-
351,The Perfect Host,"$450,885","$48,764",10.8%,"$402,121",89.2%
352,Kill List,"$450,275","$29,063",6.5%,"$421,212",93.5%
353,Hesher,"$449,702","$382,946",85.2%,"$66,756",14.8%
354,17 Girls,"$449,626","$15,123",3.4%,"$434,503",96.6%
355,The Sleeping Beauty,"$446,131","$29,066",6.5%,"$417,065",93.5%
356,My Kingdom,"$435,759","$36,533",8.4%,"$399,226",91.6%
357,Super,"$422,618","$327,716",77.5%,"$94,902",22.5%
358,Sleeping Beauty,"$408,680","$36,578",9%,"$372,102",91%
359,The 5th Quarter,"$408,159","$408,159",100%,-,-
360,Stake Land,"$405,380","$33,245",8.2%,"$372,135",91.8%
361,Happy Magic,"$405,268","$10,697",2.6%,"$394,571",97.4%
362,Into the Abyss,"$393,714","$223,880",56.9%,"$169,834",43.1%
363,Game,"$381,911","$139,528",36.5%,"$242,383",63.5%
364,Mooz-Lum,"$369,129","$369,129",100%,-,-
365,7 Khoon Maaf,"$365,672","$270,207",73.9%,"$95,465",26.1%
366,Jig,"$363,320","$183,790",50.6%,"$179,530",49.4%
367,Love in Space,"$358,486","$34,787",9.7%,"$323,699",90.3%
368,Las Acacias,"$354,391","$6,000",1.7%,"$348,391",98.3%
369,El Bulli: Cooking in Progress,"$343,116","$237,181",69.1%,"$105,935",30.9%
370,Ladies vs. Ricky Bahl,"$328,870",-,-,"$328,870",100%
371,The Day He Arrives,"$322,348","$13,746",4.3%,"$308,602",95.7%
372,5 Days of War,"$316,944","$17,479",5.5%,"$299,465",94.5%
373,Corpo Celeste 2011 Re-release,"$316,504","$8,919",2.8%,"$307,585",97.2%
374,Being Elmo: A Puppeteer's Journey,"$310,812","$304,052",97.8%,"$6,760",2.2%
375,Khodorkovsky,"$294,599","$39,522",13.4%,"$255,077",86.6%
376,Dreams of a Life,"$291,898","$8,405",2.9%,"$283,493",97.1%
377,The Interrupters,"$286,457","$282,448",98.6%,"$4,009",1.4%
378,The Black Power Mixtape 1967-1975,"$280,025","$273,749",97.8%,"$6,276",2.2%
379,Conan O'Brien Can't Stop,"$267,965","$267,965",100%,-,-
380,Munger Road,"$266,689","$266,689",100%,-,-
381,Phil Ochs: There But for Fortune,"$263,723","$263,723",100%,-,-
382,The Music Never Stopped,"$258,223","$258,223",100%,-,-
383,My Perestroika,"$242,707","$242,707",100%,-,-
384,"Life, Above All","$230,529","$134,461",58.3%,"$96,068",41.7%
385,Wrecked,"$229,532","$8,020",3.5%,"$221,512",96.5%
386,Murder 2,"$228,501","$59,000",25.8%,"$169,501",74.2%
387,The Afflicted,"$212,940","$212,940",100%,-,-
388,"Filth to Ashes, Flesh to Dust","$202,531","$202,531",100%,-,-
389,October Baby,"$199,442","$199,442",100%,-,-
390,Whores' Glory,"$197,932","$31,420",15.9%,"$166,512",84.1%
391,Chalo Dilli,"$191,185","$94,300",49.3%,"$96,885",50.7%
392,Amigo,"$184,705","$184,705",100%,-,-
393,"The Man Nobody Knew: In Search of My Father, CIA Spymaster William Colby","$183,342","$183,342",100%,-,-
394,Go for It!,"$180,237","$180,237",100%,-,-
395,Cirkus Columbia,"$173,083","$3,457",2%,"$169,626",98%
396,Bellflower,"$172,935","$168,226",97.3%,"$4,709",2.7%
397,The Human Centipede II (Full Sequence),"$170,323","$141,877",83.3%,"$28,446",16.7%
398,Viva Riva!,"$168,982","$61,759",36.5%,"$107,223",63.5%
399,The Turin Horse,"$162,088","$56,391",34.8%,"$105,697",65.2%
400,Road to Nowhere,"$161,619","$40,294",24.9%,"$121,325",75.1%
401,Eames: The Architect & The Painter,"$159,715","$153,088",95.9%,"$6,627",4.1%
402,Chasing Madoff,"$157,612","$157,612",100%,-,-
403,Magic Trip: Ken Kesey's Search for a Kool Place,"$155,005","$154,521",99.7%,$484,0.3%
404,Revenge of the Electric Car,"$151,272","$150,886",99.7%,$386,0.3%
405,Nobody Else But You,"$150,173","$43,040",28.7%,"$107,133",71.3%
406,Gun Hill Road,"$148,994","$148,994",100%,-,-
407,Cold Weather,"$144,056","$141,358",98.1%,"$2,698",1.9%
408,Thunder Soul,"$143,986","$143,986",100%,-,-
409,Dirty Girl,"$143,485","$55,125",38.4%,"$88,360",61.6%
410,Metropolis Giorgio Moroder Presents,"$140,907","$27,362",19.4%,"$113,545",80.6%
411,Beautiful Boy,"$140,123","$77,247",55.1%,"$62,876",44.9%
412,I Will Follow,"$135,809","$135,809",100%,-,-
413,Tonight You're Mine,"$132,787","$6,255",4.7%,"$126,532",95.3%
414,The Fairy,"$129,818","$38,399",29.6%,"$91,419",70.4%
415,Steve Jobs: The Lost Interview,"$127,541","$105,710",82.9%,"$21,831",17.1%
416,Vidal Sassoon: The Movie,"$124,532","$85,974",69%,"$38,558",31%
417,Puncture,"$123,700","$68,945",55.7%,"$54,755",44.3%
418,Sigur Rós: Inni,"$123,482","$123,482",100%,-,-
419,The Last Mountain,"$122,961","$122,961",100%,-,-
420,Michael,"$121,034","$15,715",13%,"$105,319",87%
421,Blank City,"$119,929","$116,037",96.8%,"$3,892",3.2%
422,The Decoy Bride,"$117,754",$759,0.6%,"$116,995",99.4%
423,The Undefeated,"$116,381","$116,381",100%,-,-
424,Headshot,"$115,511","$1,373",1.2%,"$114,138",98.8%
425,35 and Ticking,"$113,794","$113,794",100%,-,-
426,In the Family,"$101,934","$101,934",100%,-,-
427,Rubber,"$101,729","$100,370",98.7%,"$1,359",1.3%
428,The Man Who Fell to Earth,"$100,468","$100,072",99.6%,$396,0.4%
429,Rejoice and Shout,"$100,237","$100,237",100%,-,-
430,A Little Help,"$96,868","$96,868",100%,-,-
431,My Reincarnation,"$96,115","$92,822",96.6%,"$3,293",3.4%
432,American: The Bill Hicks Story,"$92,234","$92,234",100%,-,-
433,Evil Bong 3: The Wrath of Bong,"$91,260","$91,260",100%,-,-
434,Salvation Boulevard,"$89,182","$28,468",31.9%,"$60,714",68.1%
435,Exporting Raymond,"$87,727","$87,727",100%,-,-
436,Crazy Wisdom: The Life & Times of Chogyam Trungpa Rinpoche,"$86,202","$86,202",100%,-,-
437,Rapt 2011 Re-release,"$86,028","$45,759",53.2%,"$40,269",46.8%
438,Wretches & Jabberers,"$84,610","$84,610",100%,-,-
439,The Look,"$83,137","$19,988",24%,"$63,149",76%
440,The Whale,"$81,881","$81,881",100%,-,-
441,Inkubus,"$81,600","$81,600",100%,-,-
442,Always Kabhi Kabhi,"$80,546","$21,381",26.5%,"$59,165",73.5%
443,Circo,"$77,466","$77,466",100%,-,-
444,To Catch a Dollar: Muhammad Yunus Banks on America,"$77,142","$77,142",100%,-,-
445,The Green Wave,"$72,152",-,-,"$72,152",100%
446,Fireflies in the Garden 2011 Re-release,"$70,600","$70,600",100%,-,-
447,Battle of the Brides,"$64,572","$64,572",100%,-,-
448,Public Speaking,"$62,173","$62,173",100%,-,-
449,Trigun: Badlands Rumble 2011 Re-release,"$62,027","$62,027",100%,-,-
450,If a Tree Falls: A Story of the Earth Liberation Front,"$61,794","$61,794",100%,-,-
451,Love U... Mr. Kalakaar!,"$60,956","$48,557",79.7%,"$12,399",20.3%
452,How to Live Forever,"$60,630","$60,630",100%,-,-
453,Limelight,"$60,335","$60,335",100%,-,-
454,Crime After Crime,"$60,291","$60,291",100%,-,-
455,Putty Hill,"$58,585","$49,918",85.2%,"$8,667",14.8%
456,Battleship Potemkin,"$57,620","$51,198",88.9%,"$6,422",11.1%
457,My Joy,"$56,857","$6,298",11.1%,"$50,559",88.9%
458,Farmageddon,"$56,573","$56,573",100%,-,-
459,Muran,"$56,493","$30,116",53.3%,"$26,377",46.7%
460,Finding Joe,"$55,518","$55,518",100%,-,-
461,Into Eternity,"$55,366","$55,366",100%,-,-
462,Snowmen,"$54,805","$54,805",100%,-,-
463,The Heir Apparent: Largo Winch 2011 Re-release,"$53,793","$10,352",19.2%,"$43,441",80.8%
464,The Other F Word,"$53,714","$53,714",100%,-,-
465,!Women Art Revolution,"$52,681","$52,681",100%,-,-
466,An Invisible Sign,"$51,138","$1,279",2.5%,"$49,859",97.5%
467,Orgasm Inc.,"$49,001","$49,001",100%,-,-
468,"Lebanon, Pa.","$48,381","$48,381",100%,-,-
469,Ceremony,"$48,174","$22,270",46.2%,"$25,904",53.8%
470,Alabama Moon,"$47,305","$47,305",100%,-,-
471,Went the Day Well?,"$47,214","$47,214",100%,-,-
472,Diary of a Country Priest,"$47,000","$47,000",100%,-,-
473,"Connected: An Autoblogography About Love, Death & Technology","$46,782","$46,782",100%,-,-
474,The Woodmans,"$46,623","$46,623",100%,-,-
475,Every Day,"$46,029","$46,029",100%,-,-
476,CornerStore,"$45,176","$45,176",100%,-,-
477,The Bride Wore Black,"$44,566","$44,566",100%,-,-
478,Granito,"$43,942","$43,942",100%,-,-
479,Summer 2011 Re-release,"$43,839","$43,839",100%,-,-
480,Bereavement,"$43,712","$43,712",100%,-,-
481,Love Etc.,"$43,593","$43,593",100%,-,-
482,3 Backyards,"$43,073","$43,073",100%,-,-
483,Down for Life,"$41,914","$41,914",100%,-,-
484,The Myth of the American Sleepover,"$41,045","$41,045",100%,-,-
485,Hell and Back Again,"$40,949","$40,634",99.2%,$315,0.8%
486,Addiction Incorporated,"$40,106","$40,106",100%,-,-
487,Louder Than a Bomb,"$40,000","$40,000",100%,-,-
488,Where Soldiers Come From,"$39,201","$39,201",100%,-,-
489,Paul Goodman Changed My Life,"$35,671","$35,671",100%,-,-
490,Kinyarwanda,"$35,412","$35,412",100%,-,-
491,When Harry Tries to Marry,"$35,100","$35,100",100%,-,-
492,Beautiful Darling,"$34,096","$34,096",100%,-,-
493,Making the Boys,"$33,443","$33,443",100%,-,-
494,American Teacher,"$33,144","$33,144",100%,-,-
495,Meet Monica Velour,"$33,042","$33,042",100%,-,-
496,Albatross,"$32,992",-,-,"$32,992",100%
497,Aurora,"$31,720","$5,677",17.9%,"$26,043",82.1%
498,"Hey, Boo: Harper Lee and 'To Kill a Mockingbird'","$31,135","$31,135",100%,-,-
499,Small Town Murder Songs,"$31,133","$31,133",100%,-,-
500,White Irish Drinkers,"$31,056","$31,056",100%,-,-
501,The Chaperone,"$30,514",-,-,"$30,514",100%
502,Cat Run,"$30,000","$30,000",100%,-,-
503,Evidence of a Haunting,"$29,904","$29,904",100%,-,-
504,Redemption Road,"$29,384","$29,384",100%,-,-
505,The Topp Twins: Untouchable Girls 2011 Re-release,"$29,316","$29,316",100%,-,-
506,Garbo: El espía 2011 Re-release,"$28,563","$28,563",100%,-,-
507,Clash,"$27,052","$27,052",100%,-,-
508,The Last Ride,"$27,000","$27,000",100%,-,-
509,Main Street,"$26,011","$2,560",9.8%,"$23,451",90.2%
510,Caesar and Otto's Summer Camp Massacre,"$25,844","$25,844",100%,-,-
511,Passion Play,"$25,603","$3,669",14.3%,"$21,934",85.7%
512,Waiting for Forever,"$25,517","$25,517",100%,-,-
513,The Worst Movie Ever!,"$25,206","$25,206",100%,-,-
514,Bonnie & Clyde vs. Dracula,"$25,027","$25,027",100%,-,-
515,Harvest,"$24,657","$24,657",100%,-,-
516,Knuckle,"$24,655","$2,647",10.7%,"$22,008",89.3%
517,Immigration Tango,"$24,554","$24,554",100%,-,-
518,After,"$24,544","$24,544",100%,-,-
519,Ranchero,"$24,036","$24,036",100%,-,-
520,Shut Up Little Man! An Audio Misadventure,"$23,901","$23,901",100%,-,-
521,Raw Faith,"$23,667","$23,667",100%,-,-
522,Lost Bohemia,"$23,584","$23,584",100%,-,-
523,Incendiary,"$22,457","$22,457",100%,-,-
524,All's Faire in Love,"$22,180","$22,180",100%,-,-
525,Four Adventures of Reinette and Mirabelle,"$22,039","$22,039",100%,-,-
526,Answers to Nothing,"$22,029","$22,029",100%,-,-
527,Deep Gold 3D,"$21,868","$12,000",54.9%,"$9,868",45.1%
528,Monogamy,"$21,527","$21,527",100%,-,-
529,Resurrect Dead: The Mystery of the Toynbee Tiles,"$21,242","$21,242",100%,-,-
530,Cameraman: The Life and Work of Jack Cardiff,"$20,840","$20,840",100%,-,-
531,Skateland,"$19,411","$19,411",100%,-,-
532,Reuniting the Rubins,"$19,288","$13,569",70.3%,"$5,719",29.7%
533,Romeos,"$19,248","$1,081",5.6%,"$18,167",94.4%
534,Make Believe,"$19,085","$19,085",100%,-,-
535,Oka!,"$18,364","$18,364",100%,-,-
536,Battle for Brooklyn,"$18,000","$18,000",100%,-,-
537,Cook County,"$17,977","$17,977",100%,-,-
538,Littlerock,"$17,309","$17,309",100%,-,-
539,Archie's Final Project,"$17,282","$17,282",100%,-,-
540,I Melt with You,"$16,232","$6,361",39.2%,"$9,871",60.8%
541,Dumbstruck,"$15,379","$15,379",100%,-,-
542,I'm Not Jesus Mommy,"$15,005","$15,005",100%,-,-
543,The Tenant,"$15,003","$15,003",100%,-,-
544,Peep World,"$14,351","$14,351",100%,-,-
545,Saheb Biwi Aur Gangster,"$14,231","$14,231",100%,-,-
546,Sympathy for Delicious,"$13,826","$13,826",100%,-,-
547,Under the Boardwalk: The Monopoly Story,"$13,080","$13,080",100%,-,-
548,Bloodworth,"$12,971","$12,971",100%,-,-
549,America the Beautiful 2: The Thin Commandments,"$12,366","$12,366",100%,-,-
550,Rebirth,"$12,358","$12,358",100%,-,-
551,Back Door Channels: The Price of Peace,"$12,139","$12,139",100%,-,-
552,Rid of Me,"$11,740","$11,740",100%,-,-
553,Elektra Luxx,"$11,514","$11,514",100%,-,-
554,InSight,"$11,100","$11,100",100%,-,-
555,The Woman with the 5 Elephants 2011 Re-release,"$11,026","$11,026",100%,-,-
556,Sarah Palin: You Betcha!,"$10,935","$10,935",100%,-,-
557,Marriage Italian Style 2011 Re-release,"$10,600","$10,600",100%,-,-
558,Zero Bridge,"$10,357","$10,357",100%,-,-
559,Prince of the Himalayas,"$10,190","$10,190",100%,-,-
560,Miss Minoes 2011 Re-release,"$10,189","$10,189",100%,-,-
561,A Bird of the Air,"$10,152","$10,152",100%,-,-
562,Vito Bonafacci,"$9,570","$9,570",100%,-,-
563,Lucky,"$8,564","$8,564",100%,-,-
564,London River 2011 Re-release,"$7,200","$7,200",100%,-,-
565,Good Neighbours,"$7,072","$7,072",100%,-,-
566,Corman's World: Exploits of a Hollywood Rebel,"$7,000","$7,000",100%,-,-
567,Janie Jones,"$6,840","$6,840",100%,-,-
568,"El Sicario, Room 164","$6,123","$6,123",100%,-,-
569,The Family Tree,"$6,035","$6,035",100%,-,-
570,The Imperialists Are Still Alive!,"$5,874","$5,874",100%,-,-
571,Empire of Silver 2011 Re-release,"$5,867",-,-,"$5,867",100%
572,Elevate,"$5,580","$5,580",100%,-,-
573,And They're Off,"$5,154","$5,154",100%,-,-
574,Tanner Hall,"$5,073","$5,073",100%,-,-
575,To Die Like a Man,"$4,955","$4,029",81.3%,$926,18.7%
576,The Catechism Cataclysm,"$4,373","$4,373",100%,-,-
577,Daylight,"$4,171","$4,171",100%,-,-
578,Campus Radio,"$4,000","$4,000",100%,-,-
579,Building Hope,"$4,000","$4,000",100%,-,-
580,The Harvest/La Cosecha,"$3,709","$3,709",100%,-,-
581,The Sons of Tennessee Williams,"$3,242","$3,242",100%,-,-
582,Balls to the Wall,"$3,140","$3,140",100%,-,-
583,The Weird World of Blowfly,"$3,062","$3,062",100%,-,-
584,Zokkomon,"$3,000","$3,000",100%,-,-
585,The Lie,"$3,000","$3,000",100%,-,-
586,Blood Ties,"$2,760","$2,760",100%,-,-
587,Restitution,"$2,664","$2,664",100%,-,-
588,United Red Army 2011 Re-release,"$2,659","$2,659",100%,-,-
589,The Pool Boys,"$2,269","$2,269",100%,-,-
590,We Were Here,"$1,873",-,-,"$1,873",100%
591,Now & Later,"$1,808","$1,808",100%,-,-
592,They're Out of the Business,"$1,655","$1,655",100%,-,-
593,The Tunnel,"$1,532","$1,532",100%,-,-
594,Strangers Online,$968,$968,100%,-,-
595,Abandoned,$832,$832,100%,-,-
596,Redneck Carnage,$706,$706,100%,-,-
597,A Good Day to Die,$573,$573,100%,-,-
